,Chokey or Spinal,Crip or Star,Sink Below,CnC,Pummel,Estrike,A Blue,Two Blues,Three Blues,Four Blues,Hand Counts,Combinations,Percentage,Hands
93,True,True,False,True,True,False,False,False,False,False,4,180,0.0003254149040026033,"Handset object with 4 distinct hands, and 180 hand combinations."
94,True,True,False,True,False,True,False,False,False,False,4,270,0.0003254149040026033,"Handset object with 4 distinct hands, and 270 hand combinations."
95,True,True,True,False,True,False,False,False,False,False,4,180,0.0003254149040026033,"Handset object with 4 distinct hands, and 180 hand combinations."
96,True,True,False,False,True,True,False,False,False,False,4,180,0.0003254149040026033,"Handset object with 4 distinct hands, and 180 hand combinations."
97,True,True,True,False,False,True,False,False,False,False,4,270,0.0003254149040026033,"Handset object with 4 distinct hands, and 270 hand combinations."
98,True,True,True,True,False,False,False,False,False,False,4,270,0.0003254149040026033,"Handset object with 4 distinct hands, and 270 hand combinations."
106,False,True,False,False,False,False,False,False,False,False,3,15,0.00024406117800195249,"Handset object with 3 distinct hands, and 15 hand combinations."
105,False,False,False,True,False,True,False,False,False,False,3,15,0.00024406117800195249,"Handset object with 3 distinct hands, and 15 hand combinations."
104,False,False,False,True,True,True,False,False,False,False,3,45,0.00024406117800195249,"Handset object with 3 distinct hands, and 45 hand combinations."
103,False,False,True,True,False,True,False,False,False,False,3,81,0.00024406117800195249,"Handset object with 3 distinct hands, and 81 hand combinations."
102,False,False,True,True,True,False,False,False,False,False,3,45,0.00024406117800195249,"Handset object with 3 distinct hands, and 45 hand combinations."
100,False,False,True,False,False,True,False,False,False,False,3,15,0.00024406117800195249,"Handset object with 3 distinct hands, and 15 hand combinations."
99,False,False,True,True,False,False,False,False,False,False,3,15,0.00024406117800195249,"Handset object with 3 distinct hands, and 15 hand combinations."
101,False,False,True,False,True,True,False,False,False,False,3,45,0.00024406117800195249,"Handset object with 3 distinct hands, and 45 hand combinations."
113,False,True,False,True,True,True,False,False,False,False,2,108,0.00016270745200130165,"Handset object with 2 distinct hands, and 108 hand combinations."
118,False,False,True,False,True,False,False,False,False,False,2,5,0.00016270745200130165,"Handset object with 2 distinct hands, and 5 hand combinations."
117,False,True,True,False,True,True,False,False,False,False,2,108,0.00016270745200130165,"Handset object with 2 distinct hands, and 108 hand combinations."
116,True,False,True,True,False,True,False,False,False,False,2,135,0.00016270745200130165,"Handset object with 2 distinct hands, and 135 hand combinations."
115,True,False,True,False,True,True,False,False,False,False,2,90,0.00016270745200130165,"Handset object with 2 distinct hands, and 90 hand combinations."
114,True,False,False,False,False,False,False,False,False,False,2,5,0.00016270745200130165,"Handset object with 2 distinct hands, and 5 hand combinations."
111,False,True,True,True,True,False,False,False,False,False,2,108,0.00016270745200130165,"Handset object with 2 distinct hands, and 108 hand combinations."
112,False,False,False,False,True,True,False,False,False,False,2,5,0.00016270745200130165,"Handset object with 2 distinct hands, and 5 hand combinations."
110,True,False,False,True,True,True,False,False,False,False,2,90,0.00016270745200130165,"Handset object with 2 distinct hands, and 90 hand combinations."
109,True,False,True,True,True,False,False,False,False,False,2,90,0.00016270745200130165,"Handset object with 2 distinct hands, and 90 hand combinations."
108,False,False,False,True,True,False,False,False,False,False,2,5,0.00016270745200130165,"Handset object with 2 distinct hands, and 5 hand combinations."
107,False,True,True,True,False,True,False,False,False,False,2,162,0.00016270745200130165,"Handset object with 2 distinct hands, and 162 hand combinations."
119,False,False,True,True,True,True,False,False,False,False,1,54,8.135372600065082e-05,"Handset object with 1 distinct hands, and 54 hand combinations."
