,Chokey or Spinal,Crip or Star,Sink Below,CnC,Pummel,Estrike,A Blue,Two Blues,Three Blues,Four Blues,Hand Counts,Combinations,Percentage,Hands
63,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16,495,0.001279795,"Handset object with 16 distinct hands, and 495 hand combinations."
64,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,16,300,0.001279795,"Handset object with 16 distinct hands, and 300 hand combinations."
65,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16,495,0.001279795,"Handset object with 16 distinct hands, and 495 hand combinations."
69,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,14,39,0.001119821,"Handset object with 14 distinct hands, and 39 hand combinations."
71,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,14,702,0.001119821,"Handset object with 14 distinct hands, and 702 hand combinations."
70,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,14,468,0.001119821,"Handset object with 14 distinct hands, and 468 hand combinations."
67,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,14,702,0.001119821,"Handset object with 14 distinct hands, and 702 hand combinations."
68,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,14,39,0.001119821,"Handset object with 14 distinct hands, and 39 hand combinations."
66,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,14,468,0.001119821,"Handset object with 14 distinct hands, and 468 hand combinations."
72,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,111,0.000719885,"Handset object with 9 distinct hands, and 111 hand combinations."
73,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,111,0.000719885,"Handset object with 9 distinct hands, and 111 hand combinations."
74,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,65,0.000639898,"Handset object with 8 distinct hands, and 65 hand combinations."
