,Stat,"Arakni, Huntsman","Azalea, Ace in the Hole","Betsy, Skin in the Game","Bravo, Showstopper",Dash I/O,"Dash, Inventor Extraordinaire",Dorinthea Ironsong,"Fai, Rising Rebellion","Kano, Dracai of Aether",Kassai of the Golden Sand,"Katsu, the Wanderer","Kayo, Armed and Dangerous","Levia, Shadowborn Abomination",Maxx 'The Hype' Nitro,"Olympia, Prized Fighter","Prism, Awakener of Sol","Rhinar, Reckless Rampage","Riptide, Lurker of the Deep","Ser Boltyn, Breaker of Dawn","Teklovossen, Esteemed Magnate","Uzuri, Switchblade","Victor Goldmane, High and Mighty","Viserai, Rune Blood","Vynnset, Iron Maiden"
"Teklovossen, Esteemed Magnate",Games going first,39,99,19,33,22,15,120,35,30,55,95,152,62,12,24,72,39,29,61,14,63,94,47,31
"Teklovossen, Esteemed Magnate",Games going second,27,73,13,39,37,19,72,16,18,91,51,91,46,15,18,86,58,20,73,14,46,61,40,17
"Teklovossen, Esteemed Magnate",Wins,32,74,13,32,25,16,115,10,23,103,36,98,53,13,20,41,42,37,61,14,40,103,23,21
"Teklovossen, Esteemed Magnate",Wins going first,18,43,8,14,8,9,78,5,10,28,24,66,33,7,10,19,19,25,30,8,26,63,13,15
"Teklovossen, Esteemed Magnate",Wins going second,14,31,5,18,17,7,37,5,13,75,12,32,20,6,10,22,23,12,31,6,14,40,10,6
"Uzuri, Switchblade",Games,108,506,77,200,213,112,605,123,330,320,457,723,346,69,116,511,237,122,347,109,180,686,292,169
"Uzuri, Switchblade",Games going first,42,225,27,96,80,30,287,63,183,155,294,353,186,24,55,259,123,52,118,46,90,308,121,67
"Uzuri, Switchblade",Games going second,66,281,50,104,133,82,318,60,147,165,163,370,160,45,61,252,114,70,229,63,90,378,171,102
"Uzuri, Switchblade",Wins,57,261,56,107,129,53,326,77,131,129,279,382,191,36,89,198,131,38,168,69,90,299,141,99
"Uzuri, Switchblade",Wins going first,25,112,16,54,49,19,146,34,83,61,164,174,85,10,41,100,67,17,60,32,47,126,68,39
"Uzuri, Switchblade",Wins going second,32,149,40,53,80,34,180,43,48,68,115,208,106,26,48,98,64,21,108,37,43,173,73,60
"Victor Goldmane, High and Mighty",Games,212,879,108,265,264,206,996,197,382,573,764,1244,477,127,147,903,388,186,597,155,686,630,412,244
"Victor Goldmane, High and Mighty",Games going first,96,447,55,103,116,80,491,92,205,312,413,573,255,50,74,450,184,117,228,61,378,315,198,86
"Victor Goldmane, High and Mighty",Games going second,116,432,53,162,148,126,505,105,177,261,351,671,222,77,73,453,204,69,369,94,308,315,214,158
"Victor Goldmane, High and Mighty",Wins,137,572,69,136,199,111,601,159,132,287,569,544,280,62,111,468,211,145,304,52,387,315,216,152
"Victor Goldmane, High and Mighty",Wins going first,58,285,37,50,87,49,299,73,72,148,299,221,140,28,53,217,98,93,118,21,205,164,93,58
"Victor Goldmane, High and Mighty",Wins going second,79,287,32,86,112,62,302,86,60,139,270,323,140,34,58,251,113,52,186,31,182,151,123,94
"Viserai, Rune Blood",Games,130,374,67,147,162,80,458,85,303,278,387,575,206,55,103,423,220,126,356,87,292,412,200,154
"Viserai, Rune Blood",Games going first,72,209,28,81,86,34,250,55,183,124,200,302,111,22,56,231,123,76,131,40,171,214,100,74
"Viserai, Rune Blood",Games going second,58,165,39,66,76,46,208,30,120,154,187,273,95,33,47,192,97,50,225,47,121,198,100,80
"Viserai, Rune Blood",Wins,65,127,42,76,91,38,235,35,162,188,181,291,136,34,71,242,139,69,222,64,151,196,100,94
"Viserai, Rune Blood",Wins going first,36,79,17,41,47,17,135,22,97,75,92,148,80,14,36,139,77,43,78,30,98,91,55,52
"Viserai, Rune Blood",Wins going second,29,48,25,35,44,21,100,13,65,113,89,143,56,20,35,103,62,26,144,34,53,105,45,42
"Vynnset, Iron Maiden",Games,84,215,53,90,86,39,229,31,116,93,170,214,99,48,42,228,108,54,145,48,169,244,154,62
"Vynnset, Iron Maiden",Games going first,49,116,30,48,45,23,135,20,70,53,116,148,62,25,29,131,56,38,72,17,102,158,80,31
"Vynnset, Iron Maiden",Games going second,35,99,23,42,41,16,94,11,46,40,54,66,37,23,13,97,52,16,73,31,67,86,74,31
"Vynnset, Iron Maiden",Wins,38,76,18,44,38,14,97,13,57,39,68,84,51,32,26,115,45,18,62,27,70,92,60,31
"Vynnset, Iron Maiden",Wins going first,24,50,13,26,18,12,61,11,39,21,48,60,38,18,20,65,25,13,37,11,42,64,38,17
"Vynnset, Iron Maiden",Wins going second,14,26,5,18,20,2,36,2,18,18,20,24,13,14,6,50,20,5,25,16,28,28,22,14
